timestamp, index, name, memory.used [MiB], memory.total [MiB]
2026/09/11 08:22:01.353, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:01.453, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:01.553, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:01.654, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:01.754, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:01.854, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:01.956, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:02.056, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:02.157, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:02.257, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:02.357, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:02.457, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:02.557, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:02.658, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:02.758, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:02.858, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:02.958, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:03.059, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:03.159, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:03.259, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:03.359, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:03.460, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:03.560, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:03.660, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:03.760, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:22:03.861, 0, Tesla T4, 1 MiB, 15360 MiB
2026/09/11 08:22:03.962, 0, Tesla T4, 3 MiB, 15360 MiB
2026/09/11 08:22:04.062, 0, Tesla T4, 3 MiB, 15360 MiB
2026/09/11 08:22:04.162, 0, Tesla T4, 3 MiB, 15360 MiB
2026/09/11 08:22:04.263, 0, Tesla T4, 3 MiB, 15360 MiB
2026/09/11 08:22:04.367, 0, Tesla T4, 13 MiB, 15360 MiB
2026/09/11 08:22:04.468, 0, Tesla T4, 105 MiB, 15360 MiB
2026/09/11 08:22:04.568, 0, Tesla T4, 105 MiB, 15360 MiB
2026/09/11 08:22:04.668, 0, Tesla T4, 105 MiB, 15360 MiB
2026/09/11 08:22:04.768, 0, Tesla T4, 1041 MiB, 15360 MiB
2026/09/11 08:22:04.869, 0, Tesla T4, 1041 MiB, 15360 MiB
2026/09/11 08:22:04.969, 0, Tesla T4, 1041 MiB, 15360 MiB
2026/09/11 08:22:05.069, 0, Tesla T4, 1185 MiB, 15360 MiB
2026/09/11 08:22:05.169, 0, Tesla T4, 1199 MiB, 15360 MiB
2026/09/11 08:22:05.270, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:05.370, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:05.470, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:05.570, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:05.671, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:05.771, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:05.871, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:05.971, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:06.072, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:06.172, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:06.272, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:06.373, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:06.473, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:06.573, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:06.674, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:06.774, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:06.874, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:06.974, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:07.075, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:07.175, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:07.275, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:07.375, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:07.476, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:07.576, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:07.676, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:07.776, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:07.877, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:07.977, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:08.077, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:08.177, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:08.278, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:08.378, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:08.478, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:08.579, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:08.679, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:08.779, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:08.879, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:08.980, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:09.080, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:09.180, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:09.280, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:09.381, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:09.481, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:09.581, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:09.681, 0, Tesla T4, 1203 MiB, 15360 MiB
2026/09/11 08:22:09.782, 0, Tesla T4, 1205 MiB, 15360 MiB
2026/09/11 08:22:09.882, 0, Tesla T4, 1205 MiB, 15360 MiB
2026/09/11 08:22:09.982, 0, Tesla T4, 1205 MiB, 15360 MiB
2026/09/11 08:22:10.082, 0, Tesla T4, 1205 MiB, 15360 MiB
2026/09/11 08:22:10.183, 0, Tesla T4, 1205 MiB, 15360 MiB
2026/09/11 08:22:10.283, 0, Tesla T4, 1205 MiB, 15360 MiB
2026/09/11 08:22:10.383, 0, Tesla T4, 1205 MiB, 15360 MiB
2026/09/11 08:22:10.483, 0, Tesla T4, 1205 MiB, 15360 MiB
2026/09/11 08:22:10.583, 0, Tesla T4, 1205 MiB, 15360 MiB
2026/09/11 08:22:10.684, 0, Tesla T4, 123 MiB, 15360 MiB
2026/09/11 08:22:10.784, 0, Tesla T4, 123 MiB, 15360 MiB
2026/09/11 08:22:10.884, 0, Tesla T4, 123 MiB, 15360 MiB
2026/09/11 08:22:10.984, 0, Tesla T4, 123 MiB, 15360 MiB
2026/09/11 08:22:11.085, 0, Tesla T4, 123 MiB, 15360 MiB
2026/09/11 08:22:11.185, 0, Tesla T4, 123 MiB, 15360 MiB
2026/09/11 08:22:11.285, 0, Tesla T4, 123 MiB, 15360 MiB
2026/09/11 08:22:11.385, 0, Tesla T4, 117 MiB, 15360 MiB
2026/09/11 08:22:11.486, 0, Tesla T4, 117 MiB, 15360 MiB
2026/09/11 08:22:11.586, 0, Tesla T4, 117 MiB, 15360 MiB
